,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Jamestown,42.1,-79.24,77.0,50,1,10.29,US,1597450438
1,Mataura,-46.19,168.86,48.0,80,8,4.0,NZ,1597450438
2,Butaritari,3.07,172.79,82.09,80,72,12.59,KI,1597450438
3,New Norfolk,-42.78,147.06,52.0,93,86,1.14,AU,1597450439
4,Qiongshan,20.01,110.35,77.0,100,0,2.24,CN,1597450439
5,Port Alfred,-33.59,26.89,54.66,70,0,6.33,ZA,1597450439
6,Hithadhoo,-0.6,73.08,82.22,74,91,9.13,MV,1597450439
7,Busselton,-33.65,115.33,55.99,94,35,5.99,AU,1597450439
8,High Rock,26.62,-78.28,84.2,79,20,3.36,BS,1597450440
9,Geraldton,-28.77,114.6,50.0,76,0,5.82,AU,1597450440
10,São João da Barra,-21.64,-41.05,73.54,84,7,24.18,BR,1597450440
11,Hamilton,39.18,-84.53,80.6,78,40,7.18,US,1597450198
12,Khatanga,71.97,102.5,54.99,50,23,16.8,RU,1597450440
13,Batemans Bay,-35.72,150.18,57.0,82,98,4.0,AU,1597450441
14,Thinadhoo,0.53,72.93,83.1,70,87,5.77,MV,1597450441
15,Puerto Carreño,6.19,-67.49,81.52,80,100,4.27,CO,1597450400
16,Dikson,73.51,80.55,44.19,97,97,16.71,RU,1597450441
17,Újhartyán,47.22,19.39,66.2,93,91,2.24,HU,1597450442
18,Chukhloma,58.75,42.68,43.63,94,3,3.87,RU,1597450442
19,Bluff,-46.6,168.33,48.0,80,77,4.0,NZ,1597450442
20,George Town,5.41,100.34,78.8,94,20,4.27,MY,1597450442
21,Okhotsk,59.38,143.3,58.14,81,100,8.57,RU,1597450442
22,Makakilo City,21.35,-158.09,87.8,55,75,6.93,US,1597450442
23,Atuona,-9.8,-139.03,77.65,72,66,15.7,PF,1597450443
24,Beaverlodge,55.22,-119.44,64.4,52,75,14.99,CA,1597450443
25,Saint George,37.1,-113.58,106.0,11,1,9.17,US,1597450381
26,Punta Arenas,-53.15,-70.92,32.0,91,100,4.7,CL,1597450239
27,Rikitea,-23.12,-134.97,70.83,76,40,11.48,PF,1597450444
28,Ushuaia,-54.8,-68.3,35.6,92,40,11.41,AR,1597450218
29,Vaini,-21.2,-175.2,75.2,69,20,13.87,TO,1597450444
